epoch	hours	top1Accuracy
0	0.05829779861111111	47.58
1	0.11495302777777777	60.79
2	0.17152666055555557	64.92999999999999
3	0.22814178083333334	73.61999999999999
4	0.2846696813888889	72.5
5	0.3423900352777778	69.28999999999999
6	0.39890820138888894	76.69
7	0.4555573944444445	78.36999999999999
8	0.5120948461111111	66.61
9	0.5686337061111111	70.27
10	0.6251672049999999	77.57
11	0.6816956183333334	80.77
12	0.7381562702777777	79.65
13	0.7948417886111112	72.28
14	0.8520142766666667	77.83
15	0.9083925627777777	73.74000000000001
16	0.9647594577777777	82.1
17	1.021135111388889	83.67999999999999
18	1.0775502733333333	81.93
19	1.1339201555555556	81.74
20	1.1903869975	83.06
21	1.2468484422222224	87.18
22	1.3034143591666667	86.79
23	1.3598699477777778	87.68
24	1.4163046208333334	88.96
25	1.4727677197222222	90.36999999999999
26	1.529265078611111	92.25999999999999
27	1.5857053225	93.19
28	1.6420489727777776	93.91000000000001
29	1.6986080747222223	94.19
